   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	  181	  182	  183	  184	  185	  186	  187	  188	  189	  190	  191	  192	  193	  194	  195	  196	  197	  198	  199	  200	  201	  202	  203	  204	  205	  206	  207	  208	  209	  210	  211	  212	  213	  214	  215	  216	  217	  218	  219	  220	  221	  222	  223	
  0		33504	57596	32147	16384	52047	48224	27755	46189	48565	36419	57500	19369	 6619	10795	53092	54354	  156	 8192	24255	13019	 5439	59506	 1691	26395	30425	47198	49747	47503	53448	 7021	11566	58812	25418	25031	18755	18217	59622	13155	33972	12536	57609	46966	31419	58108	25595	53330	57776	30197	40736	30755	26272	 9187	 8451	36105	50551	 6460	37009	44752	35777	24725	57855	41110	 3293	 5134	23565	 2964	53574	23718	59404	37320	 8406	55171	50051	53975	55729	15332	15004	17210	45044	 3151	  455	 3871	45088	33253	58461	26760	31671	39524	15677	31116	54695	 3016	48422	16528	37552	24844	16868	39710	43715	39782	17820	16587	23187	45371	52459	37428	 8889	18584	20677	 6305	15961	46786	 4109	43567	50091	44880	27348	 3928	 4063	29617	20690	46558	21293	50277	23329	  660	 5397	30722	15557	23196	22573	21456	50694	28631	22452	49074	52881	51934	45224	39759	20941	42982	27233	 2066	28236	22535	40553	53367	41407	38607	11768	53142	 8403	48505	57370	33876	11187	 8013	15026	32641	 8917	13719	35906	 6266	12529	37758	30757	48207	44833	 9000	48754	25520	40212	18846	31605	51202	40409	45022	36407	17203	  357	59626	 3185	23941	 4817	41609	45341	45355	35793	  623	 5317	28796	11757	26152	27671	45990	53090	24013	30942	42238	57441	17478	46782	35181	14934	  954	47109	41885	27255	47968	30541	54963	32094	50089	35931	46571	36991	59979	13159	58517	29301	27810	 1732	58038	
  1		14607	15725	14193	59164	36795	31442	45540	41985	12917	13313	24832	23070	 8343	15601	  280	17243	18936	21689	26891	49171	 3821	31111	46848	 6216	45787	47606	47725	22928	38501	 9890	 6230	46812	 6290	44432	21903	17288	27722	47177	50286	55253	19659	19146	14213	39753	 4166	31356	26059	41542	41862	46653	55121	46442	 8035	55409	40280	36226	  478	 2317	52996	16267	49044	49333	16738	57691	37891	53987	18063	 4188	42863	16395	14173	36338	54529	19894	20005	13542	25147	45705	39214	25038	34671	43317	21289	48297	10744	34244	35153	25070	29434	35233	54682	41357	14558	 9850	24786	 1380	40848	26482	41159	 8506	46525	59946	42289	 1368	 6056	 2821	57083	52336	31250	 1013	41645	29257	 7006	16423	 2772	29437	54821	30609	 2978	25801	57557	 4435	32790	 6635	45072	55593	29575	41372	33726	12714	17713	48599	49964	 9419	46694	33327	23720	45255	43639	31165	 5343	14364	46017	 4314	47850	49359	 4544	45514	 1325	21106	22222	28884	22114	31121	12487	 8939	52862	36729	 9170	51367	  888	53511	 9523	36966	32183	14892	18560	24139	16154	 5401	10223	20087	 2974	20848	36524	37553	12215	42461	22898	50807	48481	49460	47760	 8138	43999	 5942	53837	45171	36467	15592	19393	50435	 8436	39254	35572	32069	37735	25570	49175	 2634	53723	 5887	 9910	48726	46728	44798	45745	18089	47612	 4037	 9926	22081	57624	13669	39100	28473	 3323	 9774	52710	34225	33620	52941	16880	41174	
  2		23716	30351	35406	19917	11724	30271	56820	22742	56480	59847	41017	12066	 4164	55798	 2390	51682	59730	19114	18331	34808	15487	27291	23600	53342	18885	30545	38968	51476	  695	33614	43908	27583	57473	24933	29310	39590	22503	48146	20881	34949	 5388	19506	37775	51160	37716	19585	 5679	 8592	11767	  396	52569	22049	22652	35148	 5768	19209	48161	33259	42026	55870	22348	 7580	34584	38645	36801	33882	35278	54625	26194	38751	46989	10190	44829	 5835	22519	 7895	22910	47795	 8336	54040	22756	30470	11208	34796	 8641	25310	57147	 5898	15055	22900	23986	52705	 3824	12328	42531	15685	25351	38548	33931	  672	25729	49960	47990	16540	41681	32834	27028	41717	29873	 9766	10610	54097	41558	59631	11819	19070	17342	54809	18037	11823	56800	 8020	  730	34046	50121	22981	54081	34802	 3958	22319	36513	10911	  908	46705	56381	 4631	45000	43554	47135	26690	18691	 1432	28487	38512	17469	10189	33583	17803	20781	24419	19729	 4718	54070	23793	21500	10890	33629	12454	42109	46523	10779	 5566	30113	51008	  960	14980	 2944	59724	16292	21821	49391	32126	52506	11405	59547	22191	53994	 3896	 7845	13689	13478	41250	 3309	 8827	 6916	31970	42082	 3196	29086	30529	 3152	15826	59488	 1717	22741	14552	12959	46951	47063	56164	28218	12538	52533	12641	24206	 4026	25755	27299	36916	37601	13255	22594	20028	23637	10773	19337	  939	58500	15794	18263	46554	 4901	42592	39946	
  3		30766	43140	59908	38848	53589	16542	44456	 1057	 8683	42128	 4374	 9176	56845	32097	 6681	15537	 5816	42704	56136	50178	59377	54853	35058	30420	57410	50214	 9571	 5744	55378	16073	57572	34611	44272	35696	31883	 6224	35361	37604	25907	17155	50838	50822	56600	10558	42792	40711	 1983	58632	 8379	45451	31627	16436	 2087	30172	33044	25429	54819	 7994	16735	13126	53005	33506	39497	 7821	15433	 5113	36041	26829	23328	10648	50442	57030	37665	17218	 7584	46012	27409	22729	 8587	42821	45454	32829	20155	57830	32614	23223	15822	 4259	 4642	14800	 1960	24415	38903	38562	51998	38833	49947	16071	18505	32372	  807	47869	55944	25010	  471	41350	38633	14908	33256	28051	22791	59500	25264	46588	 3322	53786	 9928	35203	 8399	30115	24337	 4290	40679	43071	 5537	57826	22555	 1080	40182	18750	40145	31655	16481	28508	 1102	27622	30095	47266	44891	21893	24472	58386	19488	22094	 6319	  952	 4527	13141	34364	31281	28619	50093	50617	57875	16674	19650	38286	40290	 7166	34407	46683	23587	52268	12446	12023	 6067	20521	39876	16642	 8030	10806	54696	44192	39503	16510	57902	34718	47136	37174	32541	45435	18835	53333	26923	 9632	 1143	28694	51411	47316	16890	18664	13505	54901	15441	27201	29377	 1007	18529	48885	43146	40418	39396	37041	13950	16379	15617	21222	 6260	20439	27093	56170	23266	45934	56461	18984	22117	33893	 7508	49838	50362	28662	40074	14688	30690	
  4		49992	39633	24275	 5057	37877	37431	30692	39448	55610	 9580	37470	11828	14386	16033	19664	 4548	31566	45192	16159	49725	49583	 8250	51965	52418	 9934	33497	14598	27726	32444	19310	59515	47285	 9868	16669	31017	55771	47458	59438	59460	51512	40068	 6349	46533	20589	30316	 3071	56849	40940	12732	14487	 1215	 8037	46861	18365	27854	35198	19276	28136	51297	43581	22942	49927	49287	 5984	28919	35727	30535	41669	53890	27620	 6213	43722	51335	12266	54351	55855	39815	29657	43049	31625	45280	54815	12489	32343	 3138	16879	 4994	 4555	 2658	30758	 2340	38920	25079	59255	20522	48427	 9623	23510	16640	52220	11043	33513	12271	43355	27417	33652	11758	35016	 5214	14070	26120	58403	 2988	  566	17594	 6282	 9405	53615	 7808	31948	21687	55164	 1968	24925	25227	 6487	54779	57080	59328	 9642	54622	42267	52553	46913	 6663	47091	41616	53646	11615	56627	10564	17760	24848	 7279	41013	24851	44739	24133	31522	21354	57937	33203	47414	48698	51365	  102	16337	13653	20145	 8743	49634	 3917	52532	52246	29415	 8025	47042	57283	55698	51713	37708	47765	52694	52177	30946	 2602	58084	44112	11135	39620	19794	 9532	29357	38452	15587	37015	 3402	 1648	39067	57994	51161	44992	48283	15216	 1880	54437	50992	57928	 9045	55088	25400	48804	59192	21097	16051	52894	43728	45211	19704	59162	 1849	53099	 2626	 2227	42926	56775	35783	 7397	29491	51567	10251	 8710	23297	50321	
  5		16812	   90	15637	26412	21030	18881	30573	58119	30382	12847	 5410	45587	27935	 3137	20225	34715	15655	29026	11633	35801	37515	59008	11191	54069	35645	51872	12178	27963	  640	46383	33379	14960	28214	29627	 4238	10414	 2230	35298	51018	44416	40906	39091	50784	59187	33435	51562	46559	42027	46462	53830	25112	19473	 1975	 5833	26927	 6423	39813	20386	38846	34307	59119	50352	11192	21076	36066	35830	17622	 4454	53593	28457	17616	50236	54571	36847	20786	12613	58750	11036	30587	  222	51144	24378	32299	 3640	18859	38268	38391	48713	10479	42774	37994	51605	42216	23489	19844	44437	51770	15987	 9654	 4419	31776	 3738	 8029	19988	19902	45404	40044	23825	10367	44854	15734	12045	 4423	41656	 6401	29187	 6063	13559	  881	10852	 1509	19638	30449	20168	28318	35001	38423	43662	 6965	53997	37354	40183	46646	35199	 8872	42019	 2046	49016	50497	 1925	  184	 1150	 7176	 5525	32204	14259	52953	38636	30592	21244	56945	 9055	23512	52956	41597	13594	58967	47309	59517	22661	40001	16631	39639	53098	46031	38178	53057	12317	56134	27452	29594	20655	42672	14692	 3338	49752	13252	23792	14769	37769	 9077	14978	28448	21549	10036	54109	58592	17564	18127	15230	37232	50594	35923	19078	 1631	39094	10891	43269	31245	20905	35827	39307	19050	 5848	54765	13724	19032	  142	31495	56445	50058	11433	26907	56331	43833	 4194	15942	46667	25523	  897	50628	22131	 7551	30646	
  6		35328	  378	11601	 4050	31857	11346	42466	34738	54856	20617	22234	12047	32546	16743	35055	29371	18212	45601	 7611	54977	30090	 2013	 7960	40643	11216	 8204	37151	13338	38630	46759	35742	 8053	22305	58349	44332	32369	21861	27739	13966	17642	42976	52663	 5180	 4104	53710	55604	22561	59511	  717	32909	  836	29120	22779	50404	 7785	28335	40615	37560	30515	 3818	39057	31728	11785	35311	 3712	51513	58764	58694	30524	 8238	21401	49519	58925	20653	50382	53402	32789	23217	 9179	46226	 4575	12587	 3265	26375	32185	28081	23518	24493	19545	13741	25730	 5500	29840	15528	28187	46878	45932	 7607	 1127	18027	38136	37216	27049	 8484	12327	44177	28746	37827	35991	37943	39960	40733	28400	23731	41942	24891	  173	35371	56637	46977	34830	14005	 1907	33663	15679	44947	30560	39501	 9702	13703	26029	59108	28379	24074	45822	18531	11727	 7151	51384	32980	38782	13175	34579	25560	17369	11204	 5241	54306	11167	45459	34600	11595	55921	48988	55969	38597	 3073	48135	22505	46450	49558	 3524	48837	43521	33727	49883	23050	27756	41452	16699	37790	39481	31654	33638	54803	12499	58612	11483	46217	47324	39803	58984	59949	21782	54987	39751	 4654	 8520	 9485	 6784	41501	15087	44054	20481	26608	36138	23708	 3538	43989	20199	47698	 7863	 2951	38992	12297	52419	29985	54976	12796	 9052	59007	46494	10857	37347	40575	12126	   12	51981	50996	28849	17574	 9409	47975	 8951	
  7		29852	27518	10502	56217	30799	30201	 6208	41675	 1998	27051	37836	53633	17619	27774	15131	28158	 5655	44621	53771	37173	36128	45037	 2195	58872	53945	38973	58829	 6454	55101	31835	38594	59248	 9533	43235	 2712	57802	 3014	 3248	35877	34024	30626	33929	42455	44601	45753	  710	53368	44892	35165	20737	31912	48979	44755	11241	21344	21894	22239	41409	 7932	46091	29939	41976	59805	21363	23392	37669	 5265	 9393	10842	35810	14936	19302	49879	14559	 6164	21287	39060	41086	 7199	 5975	 8620	57368	42609	28409	13620	36938	45327	56753	44489	32640	34347	49506	22952	23173	54108	15682	58820	25204	45060	58151	37226	25704	42195	46744	16792	35266	13231	39284	12734	44231	19414	27053	30643	55218	15385	26460	13065	58562	26239	12923	42967	 3546	25579	32518	27266	 5754	59649	15015	51821	58344	21133	22496	13822	56344	21086	15502	26950	28980	43941	31891	10288	52273	35914	17529	14089	31133	 2136	 9198	39422	36623	15002	57932	22466	 1605	 6854	37988	52324	37647	55165	21323	27268	 3856	55046	35591	30523	19366	24263	48364	15673	59327	 2488	22878	37286	 3060	31392	39726	24128	10968	28454	 2292	19005	45892	30957	46954	11262	18399	53464	11614	54232	31030	40774	15438	28870	 4764	47089	50825	25212	31407	 2558	 3262	37476	 4961	 3053	 1756	25114	  642	53334	15642	55363	28577	50192	53847	52236	55555	44582	48370	 2868	12055	 2916	53885	46553	24701	37661	40865	
  8		54950	24007	36899	22320	37456	46011	58492	41777	21530	15536	24896	39863	56494	 3981	30481	50200	  407	47164	33503	13802	56299	27657	41779	28596	23029	  530	23593	22158	56347	12483	31932	44266	35454	31621	58749	57336	47948	39343	 3740	10229	 9554	51358	 9034	53248	46379	13622	13276	33589	21954	33329	49973	11829	21325	30324	 8599	40542	44386	51140	32401	58413	59375	27585	34990	56358	25694	56466	31104	27193	45817	  862	45358	 5419	36952	 9940	58113	37568	53081	56921	18366	40326	57756	41549	41355	18638	19340	 9412	10847	59025	30696	42432	44369	40047	25045	57743	20604	15205	51247	25954	 5805	 7230	39472	30297	35528	58143	12535	 8464	57313	52272	 4986	55470	35544	 4790	36660	57769	41517	 7668	24408	35472	27202	 7622	 6559	49217	 9521	39867	34110	21204	33471	49795	25311	25104	54556	54503	37855	58799	59950	57015	56887	47281	17725	  720	17597	 9324	59579	37740	39914	43613	41197	41145	 1841	30713	52912	43872	58878	58564	46743	58431	26715	35752	24521	18695	35177	42396	 8085	56563	55007	 9358	 2588	42414	40659	34066	 8801	26875	 8162	18426	30658	49376	43541	12976	58066	20557	30914	25984	33099	19420	26260	40479	33341	19516	43604	12556	 6774	 9529	54558	10122	51256	 7195	21343	56789	52744	 7875	33045	24321	40907	19851	40404	43564	42178	 9807	53730	34306	19544	39951	41029	 2703	11185	 1428	30670	 4099	33981	 6494	59887	57725	 8047	  479	
  9		56771	25383	51988	26501	29537	54005	35513	22183	35853	 1299	13416	50232	37637	40996	33280	36099	44317	26376	 1345	40648	30111	14258	42857	51139	23760	20384	52820	28074	36634	18774	27899	40863	59808	55464	53044	16851	53153	22383	51756	18377	38382	51391	10100	57840	 7028	55547	55368	32346	56614	41827	57542	44571	  354	20346	26162	19989	47805	20680	39311	 8861	14520	22213	13032	39192	43017	57216	30756	22607	31374	 7074	59220	42423	47407	15632	12363	16566	52033	53309	  648	19789	26737	55489	54164	27707	 9791	13847	15580	51922	18309	39114	20671	20457	58847	20501	50224	43155	46345	25483	15759	24104	29444	39394	58626	54257	21738	 1443	30055	25543	32063	34996	 8089	48695	35585	46720	34778	25671	39784	 3086	35833	16313	36165	27167	52951	58405	 5181	30029	36669	 1466	55354	23649	18825	26238	23373	22662	52360	56742	58821	51742	55521	27582	56019	23503	37298	17547	 3807	16613	49882	10704	28953	45074	39260	32295	35580	34754	 1071	59857	42337	32086	41064	38194	19145	52680	16218	23049	42120	28397	22714	11482	11816	24815	21111	 7236	16116	18444	19116	50983	35099	26912	12002	 1582	27837	14324	44587	32867	 2888	48123	52940	 1386	32403	42460	14119	48931	22624	 6606	43600	 4700	42962	36224	46748	 3276	 7778	50707	 3950	58827	44236	52392	55116	22751	24809	20250	 2086	43311	36156	23340	58133	26687	 7054	57513	34730	14093	 2656	30840	  855	24699	
