   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	
  0		52282	40110	36968	10771	31277	57277	43093	41004	14399	55195	39887	 5948	45996	45629	15865	19184	58069	16401	23023	44335	13075	26610	
  1		 5955	39199	48939	36515	 8174	54003	15766	     	57877	57231	13531	13263	58586	56353	     	58755	16859	 1688	 5181	42587	45283	36647	
  2		20991	43482	10526	54997	 3723	30377	34720	52126	19214	47604	40841	48154	51178	14506	43786	 1696	49953	  298	14715	35730	18065	53440	
  3		57242	 5110	17706	33865	49226	19673	 7173	51216	55597	13714	  556	39703	20751	 7722	 1234	     	48717	 8958	 2381	12717	22533	35480	
  4		15064	26589	26301	47966	17646	22002	 2143	29978	37858	48621	 7197	33927	14393	22833	31066	38267	14270	34307	48983	 1549	25230	10562	
  5		25766	51585	34946	     	31178	43168	 1671	30992	     	46145	59621	     	20816	     	 4663	    0	     	27391	58637	57658	20113	23563	
  6		59680	56853	41346	20059	41029	33378	45902	19430	32216	10468	30731	29447	33762	 6627	48988	46108	 9528	39598	17765	46082	21274	38362	
  7		29639	     	35167	58514	29058	15126	 2806	23244	12009	51908	36361	22180	54743	22000	     	59921	20423	16159	46770	30937	59848	39939	
  8		 6374	     	41289	59032	17516	25013	55590	13131	46130	30144	51243	17260	 7166	23392	42986	 2735	47487	     	     	27069	     	57437	
  9		42447	     	     	 4914	45782	39105	11461	 7764	27924	 5868	 1233	36098	45130	47162	31860	12093	28983	54392	  871	50331	  974	     	
 10		55928	     	     	13613	11709	48063	55267	     	24331	27026	58670	21711	18747	22489	 3833	30911	 1781	56049	53995	     	41253	 8870	
 11		16606	16305	27001	 8288	14671	 6240	47959	51397	40946	     	     	45573	     	32544	 4794	49970	49615	 5251	12884	22760	14277	41837	
 12		29364	57541	10726	28777	     	35229	49694	39432	28166	36824	27087	36249	     	50251	33544	43074	45174	13859	26606	24539	52794	 7452	
 13		55885	53284	     	49869	39968	54277	 3649	  546	27234	47463	33622	29522	30868	14770	 5624	 9557	 4594	43602	57691	30038	15242	39834	
 14		58972	35258	55910	43770	     	     	 2612	 9427	 7181	29533	18653	42386	42363	24799	22116	21258	 4986	27173	27653	58659	51972	52439	
 15		20986	  968	     	58196	     	     	24627	33592	48189	 8664	31355	31788	55504	59042	23845	58980	54191	 8645	 7437	47095	 8045	57987	
 16		45071	52470	52824	14143	36068	43291	 7254	32238	41962	45770	59918	     	  821	21189	 5612	17230	18147	     	 8886	18027	27479	47461	
 17		22983	34579	23730	19542	 4687	42131	40535	23199	19323	50889	10170	19686	18057	23976	50700	53894	11627	30764	13802	34777	37619	59277	
 18		 5397	33109	     	32121	25662	17694	36229	27655	54352	27556	18227	22451	 8750	42533	17015	26474	53718	57583	     	37470	     	34352	
 19		12886	39910	     	20915	49504	     	54918	15004	25227	30406	     	10245	34140	55252	56732	40874	12582	17400	13404	53385	  811	  375	
 20		34128	51926	46421	     	40692	24096	17577	42714	     	 6918	30550	19206	16458	48014	11425	48022	43945	33099	 2217	40428	15121	 6330	
 21		18479	42457	34950	42746	18214	55121	48788	     	39300	10532	     	46589	 4868	31965	     	37072	10680	     	29110	11968	     	     	
