   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	
  0		33190	37079	56231	16096	49891	10482	41636	55812	 4463	42343	
  1		22353	49654	54928	55978	28276	19617	37395	17344	28613	26069	
  2		15145	32301	    0	50382	35853	23715	13982	57064	57764	41046	
  3		56600	 6326	 8803	20693	 4985	 2585	33183	44346	21530	50576	
  4		41810	24954	 1353	14523	18231	  714	 7155	40775	33509	29905	
  5		49380	30255	38939	 6297	52409	32966	25164	31784	41396	42153	
  6		58297	42720	59194	13719	 3183	17150	50441	21832	16187	 7900	
  7		48477	13217	22476	58397	  820	 8637	 1360	26000	56236	45533	
  8		11466	50656	21617	50802	19692	19956	45734	 9873	33871	16915	
  9		36078	17004	 9131	39098	19373	42430	15619	16482	18829	57860	
