   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	
  0		38363	36761	56569	     	34982	 6974	26721	29671	44949	14903	 8985	38929	     	 2089	13710	22204	28944	37521	     	 5688	     	42313	20630	 7071	     	14266	     	26741	14105	42286	19719	26384	 6222	52539	21822	     	31195	     	     	55509	 7938	38055	38468	58887	13728	29539	 8669	42896	40721	32965	     	52260	 7504	 3732	22240	31696	 6733	13298	56886	     	20117	     	28233	21891	19605	45118	26937	     	38766	16592	 3282	 7873	38910	33305	17206	31770	50408	     	     	26708	42468	52499	53527	26983	17132	58257	49309	     	16405	32159	23291	54929	39524	 7996	56983	53293	22453	54640	17744	30999	
  1		57654	17433	52214	33752	16528	 8055	 4977	57812	     	     	     	10754	 6047	 4401	30826	32060	29307	58299	52964	31920	53253	 8820	24816	23454	54452	46131	14864	     	 8980	29234	25079	13069	52045	28165	54335	49731	 8922	 6519	48988	46055	27260	 4385	33483	46536	24552	53675	27922	 1424	50451	44586	 6891	18229	     	44405	16694	43007	32968	55028	39513	 4240	10106	56530	24127	21531	29709	54425	44873	 8459	37990	35330	27065	     	46020	11428	53733	 9667	33627	 7149	 3711	     	47886	16488	     	     	     	     	47777	55262	33988	28190	20344	25843	48846	     	35556	45226	17322	 5837	22057	     	
  2		22349	46542	23930	12236	46267	11721	     	53058	     	     	42762	52634	 6176	     	     	13071	25715	40151	50678	48298	30209	51410	29091	     	 5608	45343	 1083	58694	     	52824	30015	28552	32032	54202	25890	 2268	     	47148	  560	34091	37401	42372	52228	48747	  799	56596	42177	27347	     	53791	43110	39396	25507	 3440	31953	19003	13163	51040	54982	16175	28425	 7864	26416	 6466	17934	     	37211	52589	27829	59255	15771	     	     	25810	56233	53177	15498	17765	38647	29351	18461	46486	 8121	53323	31453	 2594	30988	23280	20421	18433	18990	56054	23267	16955	37246	53715	22060	21967	     	48486	
  3		57837	23483	 1535	20249	30475	 1447	     	25183	16845	11614	48800	     	34584	48869	48014	55790	32432	 5025	35655	22502	46868	     	15382	41196	16051	46524	59517	 4118	21205	39740	40729	     	18066	21673	23813	20381	 5523	59535	23941	37110	29024	22518	46594	33693	25013	25043	44369	 7499	52827	54896	52230	47987	58429	55405	45906	 7670	     	51425	22663	33744	47403	     	  808	33460	29446	 4155	57682	24523	     	26800	30516	30392	33514	23535	50910	58067	27084	     	35528	 3285	53834	58933	50799	 3606	33378	18457	39641	     	49879	     	15779	48062	32348	59567	57134	58639	25687	41347	36339	46657	
  4		21841	44434	15002	     	45228	29177	17620	 1635	     	 8690	  478	 7434	35601	     	25228	46061	51837	18431	26896	43838	     	25740	38369	 4615	31270	22302	 2958	  874	50998	29895	11265	59088	42727	34611	54364	43559	 2839	14677	     	11993	38517	 4399	     	23587	     	45417	20296	     	14180	51140	     	42142	50020	33346	15184	 4679	41143	26236	12592	58520	     	49236	38033	14905	13821	16306	24878	 4558	38777	55216	     	 7827	36529	30435	22707	39904	43279	51617	 3020	44683	22708	59499	13573	     	14783	28958	     	30728	50479	 6498	 6655	     	17072	43448	46484	56608	     	     	26263	42135	
  5		23365	12049	11128	26282	13540	16004	50885	     	45081	53535	     	  853	     	36471	50606	29620	37912	10400	 6483	42266	 8747	10206	50553	     	     	32195	34141	49630	54805	     	 3651	58868	21600	45331	 1422	13169	21013	35998	12240	54158	21074	10547	     	35942	45260	42740	31679	     	39743	23936	59263	     	33317	 9316	15174	20758	23220	31577	16908	18279	16656	 5158	     	 3947	 6412	 3451	14955	29099	26839	49582	10584	24129	19384	49645	52899	14413	43935	22712	28197	18721	48714	38182	18250	41039	 8337	 2748	22968	56311	32216	10704	48126	45490	58268	     	  146	31153	17405	22381	15330	58013	
  6		 2726	14486	  508	     	20935	40830	22900	     	45369	28867	42192	 9400	 9778	31524	38827	26965	26865	28404	28943	     	 2245	55370	57635	27877	30480	13301	36804	 2525	57832	37448	57382	41722	29644	20153	20067	43343	18210	 4837	26998	     	37874	59505	15670	     	     	12401	57183	52896	33001	31586	54529	47570	47905	44126	     	12316	29662	47876	30088	     	28042	48718	     	52124	     	 8732	40954	 6303	     	40827	24843	14893	30528	44105	11760	46751	12423	     	 5891	29105	22914	55792	     	46533	27490	58702	28253	10840	     	32383	55032	 6875	17557	 9994	18942	29193	     	27778	     	28795	
  7		37082	21083	32026	 5066	 1403	22938	 2431	58167	42301	50128	15363	     	 4832	10411	28762	     	     	     	27123	19116	52768	57521	44850	31583	29791	28433	21763	36524	46430	27941	14773	58110	41611	46368	 1162	17175	 9579	     	 5036	 6896	10819	31009	46387	17413	13739	25461	41047	 8074	22838	31432	18196	42824	56516	 6508	43853	43954	 9455	     	30261	 4890	44189	 3241	36637	48539	58956	49129	     	27187	33211	16421	56717	 4297	11177	     	31301	50101	     	     	 7358	49122	 7751	58836	59438	11561	27115	38316	49030	     	57666	27372	46747	18223	17057	     	42204	27486	37003	24827	20050	17409	
  8		19466	 6849	59950	20104	18269	     	47743	     	     	     	     	  471	47835	24658	18443	29488	34121	40333	54912	33004	44957	     	10424	30968	42160	     	51076	     	27494	52984	23727	27898	51937	23508	     	 3974	 9331	26224	 8534	50100	51215	 9818	59624	40441	     	 6090	25723	38322	37501	37154	54043	38627	21535	53984	57399	34097	32644	43237	37394	 8767	36490	52559	58762	34120	19954	35515	51354	43104	     	57991	 6475	42423	30793	52259	     	53844	41555	42263	     	24352	19381	     	40745	     	25998	50095	     	51759	     	54741	34730	30471	50665	42213	39869	     	11546	49656	36605	     	
  9		 4527	33577	53231	50339	15159	 3990	 5355	34999	43801	     	47372	52787	49831	45434	50176	50114	42318	13952	40293	53865	     	20424	38609	12415	48697	 7383	54414	23920	44355	15442	28429	16841	48118	51841	     	40702	28023	59035	12899	36753	     	     	54583	 6542	     	32511	51589	23566	     	31772	     	22374	 9512	 9797	 2752	48888	29799	19722	49054	     	24560	54698	31856	     	54984	35660	15970	27466	39981	 9591	13532	25388	41561	19621	 8081	     	19455	20502	16794	16067	21965	46903	14692	43442	     	36679	41968	57620	     	35886	31117	     	     	     	47110	55990	 9604	58226	59482	30867	
