   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	
  0		38363	36761	56569	 7932	34982	 6974	26721	29671	44949	14903	 8985	38929	45113	 2089	13710	22204	28944	37521	14902	 5688	 7300	42313	20630	 7071	59277	14266	49337	26741	14105	42286	19719	26384	 6222	52539	21822	27226	31195	14118	20414	55509	 7938	38055	38468	58887	13728	29539	 8669	42896	40721	32965	38519	52260	 7504	 3732	22240	31696	 6733	13298	56886	42516	20117	18872	28233	21891	19605	45118	26937	20995	38766	16592	 3282	 7873	38910	33305	17206	31770	50408	43141	 8231	26708	42468	52499	53527	26983	17132	58257	49309	54488	16405	32159	23291	54929	39524	 7996	56983	53293	22453	54640	17744	30999	
  1		57654	17433	52214	33752	16528	 8055	 4977	57812	58912	33131	35522	10754	 6047	 4401	30826	32060	29307	58299	52964	31920	53253	 8820	24816	23454	54452	46131	14864	54610	 8980	29234	25079	13069	52045	28165	54335	49731	 8922	 6519	48988	46055	27260	 4385	33483	46536	24552	53675	27922	 1424	50451	44586	 6891	18229	 4816	44405	16694	43007	32968	55028	39513	 4240	10106	56530	24127	21531	29709	54425	44873	 8459	37990	35330	27065	11649	46020	11428	53733	 9667	33627	 7149	 3711	20137	47886	16488	55081	46959	 7040	46829	47777	55262	33988	28190	20344	25843	48846	 9404	35556	45226	17322	 5837	22057	23870	
  2		22349	46542	23930	12236	46267	11721	35125	53058	 5936	55860	42762	52634	 6176	51803	13676	13071	25715	40151	50678	48298	30209	51410	29091	40145	 5608	45343	 1083	58694	54571	52824	30015	28552	32032	54202	25890	 2268	15850	47148	  560	34091	37401	42372	52228	48747	  799	56596	42177	27347	10403	53791	43110	39396	25507	 3440	31953	19003	13163	51040	54982	16175	28425	 7864	26416	 6466	17934	45016	37211	52589	27829	59255	15771	24259	34938	25810	56233	53177	15498	17765	38647	29351	18461	46486	 8121	53323	31453	 2594	30988	23280	20421	18433	18990	56054	23267	16955	37246	53715	22060	21967	 2396	48486	
  3		57837	23483	 1535	20249	30475	 1447	22966	25183	16845	11614	48800	12084	34584	48869	48014	55790	32432	 5025	35655	22502	46868	11557	15382	41196	16051	46524	59517	 4118	21205	39740	40729	29384	18066	21673	23813	20381	 5523	59535	23941	37110	29024	22518	46594	33693	25013	25043	44369	 7499	52827	54896	52230	47987	58429	55405	45906	 7670	53736	51425	22663	33744	47403	21568	  808	33460	29446	 4155	57682	24523	22699	26800	30516	30392	33514	23535	50910	58067	27084	24388	35528	 3285	53834	58933	50799	 3606	33378	18457	39641	30713	49879	40114	15779	48062	32348	59567	57134	58639	25687	41347	36339	46657	
  4		21841	44434	15002	56908	45228	29177	17620	 1635	13871	 8690	  478	 7434	35601	51090	25228	46061	51837	18431	26896	43838	46797	25740	38369	 4615	31270	22302	 2958	  874	50998	29895	11265	59088	42727	34611	54364	43559	 2839	14677	19587	11993	38517	 4399	28002	23587	 3701	45417	20296	19671	14180	51140	11636	42142	50020	33346	15184	 4679	41143	26236	12592	58520	42670	49236	38033	14905	13821	16306	24878	 4558	38777	55216	 9536	 7827	36529	30435	22707	39904	43279	51617	 3020	44683	22708	59499	13573	48424	14783	28958	53549	30728	50479	 6498	 6655	41663	17072	43448	46484	56608	24360	37391	26263	42135	
  5		23365	12049	11128	26282	13540	16004	50885	 5075	45081	53535	 4439	  853	 5251	36471	50606	29620	37912	10400	 6483	42266	 8747	10206	50553	14179	22759	32195	34141	49630	54805	21489	 3651	58868	21600	45331	 1422	13169	21013	35998	12240	54158	21074	10547	25092	35942	45260	42740	31679	22852	39743	23936	59263	59925	33317	 9316	15174	20758	23220	31577	16908	18279	16656	 5158	45772	 3947	 6412	 3451	14955	29099	26839	49582	10584	24129	19384	49645	52899	14413	43935	22712	28197	18721	48714	38182	18250	41039	 8337	 2748	22968	56311	32216	10704	48126	45490	58268	49668	  146	31153	17405	22381	15330	58013	
  6		 2726	14486	  508	23746	20935	40830	22900	25404	45369	28867	42192	 9400	 9778	31524	38827	26965	26865	28404	28943	12998	 2245	55370	57635	27877	30480	13301	36804	 2525	57832	37448	57382	41722	29644	20153	20067	43343	18210	 4837	26998	54277	37874	59505	15670	57766	29134	12401	57183	52896	33001	31586	54529	47570	47905	44126	49977	12316	29662	47876	30088	51398	28042	48718	58684	52124	53304	 8732	40954	 6303	15716	40827	24843	14893	30528	44105	11760	46751	12423	14927	 5891	29105	22914	55792	 7698	46533	27490	58702	28253	10840	 8425	32383	55032	 6875	17557	 9994	18942	29193	41481	27778	29035	28795	
  7		37082	21083	32026	 5066	 1403	22938	 2431	58167	42301	50128	15363	47922	 4832	10411	28762	51816	27200	58674	27123	19116	52768	57521	44850	31583	29791	28433	21763	36524	46430	27941	14773	58110	41611	46368	 1162	17175	 9579	44302	 5036	 6896	10819	31009	46387	17413	13739	25461	41047	 8074	22838	31432	18196	42824	56516	 6508	43853	43954	 9455	 8792	30261	 4890	44189	 3241	36637	48539	58956	49129	 9421	27187	33211	16421	56717	 4297	11177	32751	31301	50101	58033	 9273	 7358	49122	 7751	58836	59438	11561	27115	38316	49030	49136	57666	27372	46747	18223	17057	49340	42204	27486	37003	24827	20050	17409	
  8		19466	 6849	59950	20104	18269	40867	47743	55280	36873	56796	50056	  471	47835	24658	18443	29488	34121	40333	54912	33004	44957	17210	10424	30968	42160	10599	51076	23208	27494	52984	23727	27898	51937	23508	16301	 3974	 9331	26224	 8534	50100	51215	 9818	59624	40441	11668	 6090	25723	38322	37501	37154	54043	38627	21535	53984	57399	34097	32644	43237	37394	 8767	36490	52559	58762	34120	19954	35515	51354	43104	 4657	57991	 6475	42423	30793	52259	54785	53844	41555	42263	13906	24352	19381	10902	40745	42927	25998	50095	20767	51759	58298	54741	34730	30471	50665	42213	39869	19791	11546	49656	36605	16087	
  9		 4527	33577	53231	50339	15159	 3990	 5355	34999	43801	17315	47372	52787	49831	45434	50176	50114	42318	13952	40293	53865	31707	20424	38609	12415	48697	 7383	54414	23920	44355	15442	28429	16841	48118	51841	44053	40702	28023	59035	12899	36753	44726	23771	54583	 6542	58726	32511	51589	23566	15530	31772	50565	22374	 9512	 9797	 2752	48888	29799	19722	49054	38452	24560	54698	31856	57664	54984	35660	15970	27466	39981	 9591	13532	25388	41561	19621	 8081	39284	19455	20502	16794	16067	21965	46903	14692	43442	21395	36679	41968	57620	 4570	35886	31117	15738	 3500	18388	47110	55990	 9604	58226	59482	30867	
 10		52413	20298	14567	12025	 8681	19036	17208	35030	 4129	25244	27038	14663	56043	26184	18548	14121	28100	21268	39358	 3420	56518	  518	46295	44926	18182	44173	39379	 1936	18270	24484	45085	50506	30768	34624	21918	44014	51826	 4195	27746	58499	 9233	58322	50464	 3673	52519	42642	24818	23664	22678	21732	40255	39994	58604	19416	 7487	57939	54028	55317	14605	33765	49434	38160	50708	 6278	33603	11256	 6344	 7259	17624	36438	39075	36192	40677	19093	47149	20350	34723	21602	 2178	36155	25203	10784	55712	40339	 4036	12506	25585	14580	47418	16535	14828	43728	 7224	32349	15549	24508	 9078	51844	35607	30439	
 11		55129	25922	11846	21802	 6463	52279	 6688	 7237	55918	12647	47682	 1002	37736	 1129	36040	22180	26146	10417	 3075	18158	52625	22219	 1198	26164	26059	25153	47271	31030	52293	29308	35403	27656	57376	53722	35071	57456	37427	14912	28828	51358	47366	16619	26761	56115	46426	29288	40771	 8591	50972	24251	17769	57386	14642	17129	34872	12607	30597	12101	42596	  306	 7891	36711	44084	58287	 7972	28175	49357	16700	32158	40025	16445	17295	31307	52066	14313	 6975	49929	 8843	50368	48944	19738	12588	 9910	57613	57427	51807	 9128	58760	 7686	18395	46438	11688	29367	26886	54224	54787	53334	13753	47911	 1082	
 12		32612	16101	53762	 2800	45513	40774	24033	22815	47842	26275	30205	55300	22097	30185	 9813	49161	20594	34353	20323	 2305	25804	45428	10261	27970	23268	57778	39606	50384	55578	47233	41823	39218	16509	52103	 7626	17503	 2380	30374	 9069	37938	48142	12932	41386	37947	28615	48726	46977	33178	25521	12346	51880	50779	44693	14513	57474	15473	28509	30330	 5429	 6829	59946	45623	56710	51553	21101	40850	15395	10720	27750	37566	 2802	34956	42789	32212	15865	32734	35428	26652	28144	35313	43649	12414	 6985	55402	 2181	54402	24042	47712	28225	34867	55205	59763	44798	52991	 2390	10189	18040	55542	50767	11241	
 13		26813	10447	13828	37064	53827	44458	  116	 2369	27382	 2820	17298	34365	20246	35191	34929	27694	26787	47840	42139	27126	52772	16733	56675	37390	23404	55126	31383	20762	27599	25546	16983	39622	44885	 4687	 2974	40618	52756	37896	59573	35999	54410	 1567	40978	55294	  964	38947	 5927	30554	46025	51181	57075	 5082	51619	41258	39395	48838	40096	32624	42369	 5444	43233	44719	20772	 9561	42837	21204	18245	36559	47858	12466	 8840	48276	 9317	12990	18890	 3262	12482	28841	33021	 4278	35793	53488	55162	12602	 2177	 4347	22467	48749	48796	49118	18421	34866	45067	41139	27154	30125	 6835	34297	57747	47535	
 14		15699	 1947	33920	26560	54916	53059	 4692	49735	30425	20100	 5956	21541	55135	58115	34221	 9782	33104	56975	58805	33524	 4844	24585	44038	18162	59669	52162	31486	20553	48155	58459	17237	15815	43226	51495	49500	44922	 7844	10049	 7943	18214	42776	11967	45075	24186	46818	46968	57469	38764	35465	14609	25863	52030	 1031	25164	55804	15162	 7422	36249	22675	22092	25750	47831	29157	38839	23638	23798	47494	 3622	37769	11571	 8266	52308	36708	20914	51973	27033	35393	43563	11541	58539	 6298	57800	43622	 7365	27947	48108	47150	41995	57948	45723	 8351	25386	28981	28366	49338	30846	42626	20892	 7887	20041	
 15		 3298	58460	37155	46367	47457	54434	13339	10936	27434	46850	43962	58300	32843	13447	13522	37557	51012	32205	24962	55718	20894	47468	21961	48389	31718	40034	22065	 3816	16787	33723	21016	11162	15808	 5422	48702	49251	13185	58476	29849	 2756	16854	34784	22151	22477	54775	19401	 8259	14615	59174	  235	27405	45473	18526	54441	45319	41006	38718	51453	26104	13499	56550	24788	14506	16630	42787	18940	27633	31607	 3190	48827	54091	30220	18774	18441	27362	38164	12152	 5019	14235	25454	58354	49221	30288	17896	37597	22109	17316	33986	24047	29866	 8966	50836	43849	21575	39021	15620	30416	32726	29215	57997	
 16		50923	58374	43392	15494	18496	11747	43066	56163	24646	37243	49027	 5377	21428	44466	56552	 9953	 7899	44537	22489	 8721	52724	35029	57919	13652	49636	27899	48239	 4737	58724	42162	27257	45954	43639	26051	22501	23841	 2564	52281	16532	29343	36135	44785	39141	 6309	35635	11359	58587	48158	36204	23983	34220	17571	13178	42272	18442	11210	41953	12047	24330	37507	14259	55818	 9344	36640	16332	47753	26073	34032	31525	48794	55582	 3461	 2376	23380	40477	39919	30809	34167	37236	48349	50090	 7062	24995	15403	55157	28923	18159	22912	44751	 1617	57353	 2845	38834	21072	 4510	43284	46516	52090	15268	13834	
 17		51483	  812	58458	15529	 3559	51616	 3118	13176	37146	35734	29041	56642	57681	45432	30674	14368	21505	50989	42812	35934	26339	43881	34537	45472	37429	35519	11959	20501	47811	  491	25368	19731	19169	46756	24160	12352	10788	13363	59587	53445	21405	48023	 2858	26300	51462	17400	 4514	  637	12167	59664	14673	42570	 8920	43702	14485	33830	45486	 1506	22149	 8564	44794	25101	47824	27012	15091	40657	39853	 2549	13558	 2051	34142	 3704	20926	19337	  697	37303	 9054	51041	 3781	31142	43460	43368	18014	37335	19808	32331	36638	 2366	  674	13826	39880	59643	11886	21240	17125	41714	39620	33441	23889	56140	
 18		12812	35420	50981	45574	20881	59221	27224	45732	34946	15833	29579	14538	53712	21759	56725	 3519	57545	22755	11588	 6250	42446	46102	 8611	31183	20187	 3714	49057	49566	58696	46647	49502	34166	50317	 6493	36309	12131	32027	57468	38871	13421	30818	 7239	 8151	 6911	38109	59409	36140	24793	32697	43580	19988	40551	30364	58774	45719	 2548	24195	34993	15645	44899	49969	30223	56704	  409	35829	 6571	12454	24555	  733	15200	17848	59116	  189	57083	38982	48464	45476	40429	39227	42882	39696	55374	59365	54147	22995	54281	26677	16713	43191	57561	11017	20885	38588	44414	45902	 9086	33998	13525	29788	35302	
