   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	
  0		 5079	48216	 1380	29723	51085	52478	45383	10659	35018	50768	46098	56395	 3783	18728	27457	57640	44393	34938	34320	41310	42673	53541	45017	41301	33189	 1759	20359	31098	51579	51443	47050	52800	
  1		21596	37012	26213	26165	12345	56313	43781	33327	11760	41463	51826	38079	27653	32659	 1338	32430	26990	20318	53840	42432	  227	53985	13666	45585	31357	16895	27662	 6046	57931	36823	32406	51076	
  2		46772	52792	53059	25663	19828	21032	 1076	18015	35628	 3028	 8071	16292	55533	51269	26691	57465	39711	51661	47106	14868	 2411	 9519	53706	35048	46744	38110	41212	29548	29280	13214	32179	49977	
  3		52100	59122	10447	46708	17640	 4880	58833	54228	50134	11920	45875	49729	30520	 8056	28681	14704	32750	45776	10702	56343	16548	 1708	37890	48118	21408	24886	17859	57490	13816	22175	 6294	18164	
  4		36340	46425	21243	21826	32295	59781	39411	17706	 7513	 4531	39910	 5638	57348	41625	40388	58240	 4711	30982	 1651	35590	54084	54410	51857	 4265	12962	37505	54742	19951	52849	 5514	31885	27479	
  5		57571	 7524	 7768	39542	18149	25128	19768	37211	27853	16094	28475	 5124	31431	 3840	19571	49062	15262	 1957	24167	20169	50619	47710	18507	17862	11696	42338	    0	31471	31224	25187	24595	45816	
  6		27208	49931	45110	 1444	20687	 3811	29130	45198	43773	47407	53002	39119	30765	49472	21232	 1324	44394	21986	40257	30106	54979	 6222	  334	29752	36462	11323	 7932	 6360	 9201	10244	55489	22781	
  7		20234	48836	28778	28256	52886	32964	33755	22103	 2509	34287	53764	17589	57944	40450	57462	11326	55811	42419	53042	42563	 1532	51411	48778	 2269	 2106	 5652	42191	53003	42648	50412	59716	33087	
  8		59063	22740	14557	53492	39593	32640	54160	45020	22390	17254	29908	18833	34892	34300	  871	24575	40140	22897	27405	25106	44001	39405	50771	40095	43520	40109	 1358	32243	 6374	57436	54500	 8159	
  9		18667	24642	46858	52443	13477	   55	28230	 9087	39870	25240	41524	28295	 1349	11883	 6662	43925	13317	  155	27945	45357	11809	19594	49026	 7262	 6599	45837	44579	 6287	48557	33665	38962	32454	
 10		58937	37849	29243	40758	59733	49466	26146	27834	20110	28441	28610	12455	51793	41344	21405	18323	55795	47994	45839	55829	 4285	45424	32677	24400	21685	53491	35431	18737	28174	39735	10771	 7824	
 11		13819	 8851	44078	41486	28631	 2459	55097	  672	37638	39430	24321	 5316	 3024	42548	 1883	11436	39573	 7505	38157	59593	31312	45280	50385	55158	57332	31989	29104	19488	32865	15647	45319	42683	
 12		28678	25940	36372	23721	16478	55045	29580	20347	53882	50257	24412	20066	 9956	26615	17661	52918	37309	35780	19906	29960	44257	39078	51405	42593	37852	18551	18676	58748	40824	16650	38852	58835	
 13		27534	14805	11558	 6187	 5052	12472	55260	19784	15237	12791	40429	 7940	 1934	42361	44428	31595	25587	40042	29284	 6729	51116	50171	57315	25405	24529	39335	22822	 3619	45690	51436	 1760	17979	
 14		52393	27284	52392	28187	30087	 3943	 3111	17707	16803	10571	12474	29349	46759	36002	31172	39017	21401	13706	30596	59223	 7271	44769	20547	20779	23596	 1615	30538	49325	  454	54618	55156	43693	
 15		37689	 6635	54161	39853	24010	37523	11715	12330	20596	40155	13535	21351	28253	44123	 5291	20019	18939	21528	38142	18497	48112	 7565	 4870	13334	 5648	53900	52422	38189	 6341	 4012	43764	18907	
 16		23456	 7140	 9027	35229	39964	45906	 3866	17683	40621	 4777	30309	39117	 5791	17506	40026	13676	54932	14406	11570	41474	21368	34197	51092	17390	59381	 7495	 4039	29071	58780	51864	16848	11963	
 17		25772	51705	14125	13476	 7434	30921	49256	22403	35500	22197	28906	43109	14921	36567	30615	27116	24351	13776	19389	46009	 2066	30559	46666	 5067	 8867	24780	18674	39461	55845	 4694	10080	25470	
 18		 9832	41545	36889	19517	54337	 3335	 7321	 4329	 6905	57772	 4650	 7407	25907	52536	24443	  910	31189	16762	31832	13739	 9911	17303	53488	57381	19871	 7610	36853	45419	10361	10627	 8293	54452	
 19		31990	50444	11772	51675	49044	25097	 3294	 3773	35055	56542	14910	30629	39558	33098	17999	50028	32370	48842	29445	 9211	22953	19240	21707	39923	19765	51679	57967	  720	53191	 1679	50425	49364	
 20		19799	27503	29957	16847	38302	32319	40007	59979	37994	14641	35747	50334	47226	12604	28774	47540	  127	11448	 8044	11812	47402	52378	 4474	29831	55877	46837	51167	22022	52005	 2035	39123	57562	
 21		 5654	59375	55515	48518	16406	  143	24299	20453	44129	55898	36442	23242	54508	 1502	38190	58422	 1686	58892	56498	 3104	  987	13019	50773	 2922	57260	30235	33404	57136	41993	29435	18970	  974	
 22		34332	33821	26616	12842	49379	45412	41013	 3853	50740	25984	52360	45832	11462	40326	43832	   44	14576	 3523	40487	39331	45508	54205	 1106	 6292	41861	27615	54923	20528	45537	  825	52734	25737	
 23		 2606	33335	52683	12845	10756	 9598	54356	21266	 6071	 7451	52564	12955	39937	48653	44829	25785	33217	49392	33360	57613	24232	33269	56664	44582	27528	54047	48107	16917	54590	 8442	44398	20224	
 24		11702	17499	42037	20441	59254	48344	59318	54393	 4946	57226	 7217	33034	30524	33742	12127	23677	31687	25534	23149	17495	28413	34668	21651	14210	38055	35273	28970	48997	13466	10942	 2778	51692	
 25		45140	52620	39906	12685	16923	38935	12554	47890	19935	53662	31132	 9606	58608	27444	30245	30076	51724	47110	26730	35410	57378	59831	 2160	59828	55302	23080	57671	47853	45232	21207	17181	 6320	
 26		16364	 1032	42349	43412	43182	35316	10478	43709	21918	 6321	14349	15975	26580	 3177	52275	21439	32582	 7120	16745	38386	  503	13425	29981	26840	46792	45268	30024	57395	43603	18275	17557	 1191	
